day,distance(m)
2022-06-15,3100.0
2022-06-16,5100.0
2022-06-17,8400.0
2022-06-18,1200.0
2022-06-19,619.0
2022-06-20,3000.0
2022-06-21,7800.0
2022-06-22,2700.0
2022-06-23,2900.0
2022-06-24,7600.0
2022-06-25,4800.0
2022-06-26,1100.0
2022-06-27,2600.0
2022-06-28,15600.0
2022-06-29,4700.0
2022-06-30,1500.0
2022-07-01,4800.0
2022-07-02,2700.0
2022-07-03,7800.0
2022-07-04,148.0
2022-07-05,7000.0
2022-07-06,4700.0
2022-07-07,6400.0
2022-07-08,2100.0
2022-07-09,2200.0
2022-07-10,3000.0
2022-07-11,1800.0
2022-07-12,1400.0
2022-07-13,2000.0
2022-07-14,3800.0
2022-07-15,2600.0
2022-07-16,3400.0
2022-07-17,2900.0
2022-07-18,5200.0
2022-07-19,5600.0
2022-07-20,4000.0
2022-07-21,5000.0
2022-07-22,1800.0
2022-07-23,3500.0
2022-07-24,1600.0
2022-07-25,1700.0
2022-07-26,2200.0
2022-07-27,8700.0
2022-07-28,2900.0
2022-07-29,694.0
2022-07-30,2600.0
2022-07-31,5600.0
2022-08-01,3600.0
2022-08-02,2600.0
2022-08-03,3700.0
2022-08-04,2800.0
2022-08-05,2900.0
2022-08-06,4200.0
2022-08-07,1300.0
2022-08-08,6200.0
2022-08-09,4700.0
2022-08-10,3700.0
2022-08-11,3700.0
2022-08-12,1600.0
2022-08-13,226.0
2022-08-14,226.0
2022-08-15,460.0
2022-08-16,4000.0
2022-08-17,1700.0
2022-08-18,3100.0
2022-08-19,3300.0
2022-08-20,775.0
2022-08-21,3000.0
2022-08-22,1300.0
2022-08-23,2600.0
2022-08-24,1200.0
2022-08-25,1000.0
2022-08-26,1600.0
2022-08-27,3400.0
2022-08-28,717.0
2022-08-29,647.0
2022-08-30,1900.0
2022-08-31,346.0
2022-09-01,1600.0
2022-09-02,4500.0
2022-09-03,1800.0
2022-09-04,4500.0
2022-09-05,6000.0
2022-09-06,5300.0
2022-09-07,1600.0
2022-09-08,1200.0
2022-09-09,481.0
2022-09-10,1300.0
2022-09-11,9300.0
2022-09-12,2500.0
2022-09-13,2300.0
2022-09-14,1100.0
2022-09-15,4400.0
2022-09-16,2100.0
2022-09-17,1000.0
2022-09-18,2400.0
2022-09-19,4600.0
2022-09-20,4200.0
2022-09-21,2900.0
2022-09-22,7000.0
2022-09-23,682.0
2022-09-24,5100.0
2022-09-25,5800.0
2022-09-26,8100.0
2022-09-27,2700.0
2022-09-28,2100.0
2022-09-29,3100.0
2022-09-30,3200.0
2022-10-01,3400.0
2022-10-02,5000.0
2022-10-03,801.0
2022-10-04,1900.0
2022-10-05,4300.0
2022-10-06,992.0
2022-10-07,2900.0
2022-10-08,2300.0
2022-10-09,8000.0
2022-10-10,3100.0
2022-10-11,5000.0
2022-10-12,521.0
2022-10-13,150.0
2022-10-14,2700.0
2022-10-15,5000.0
2022-10-16,2700.0
2022-10-17,2000.0
2022-10-18,4100.0
2022-10-19,2900.0
2022-10-20,3700.0
2022-10-21,1300.0
2022-10-22,1400.0
2022-10-23,7000.0
2022-10-24,2100.0
2022-10-25,946.0
2022-10-26,5100.0
2022-10-27,471.0
2022-10-28,3700.0
2022-10-29,2200.0
2022-10-30,1500.0
2022-10-31,933.0
2022-11-01,399.0
2022-11-02,1200.0
2022-11-03,3300.0
2022-11-04,1400.0
2022-11-05,3700.0
2022-11-06,3700.0
2022-11-07,2200.0
2022-11-08,271.0
2022-11-09,1600.0
2022-11-10,2300.0
2022-11-11,3700.0
2022-11-12,2700.0
2022-11-13,1900.0
2022-11-14,5400.0
2022-11-15,629.0
2022-11-16,3600.0
2022-11-17,2600.0
2022-11-18,875.0
2022-11-19,3400.0
2022-11-20,640.0
2022-11-21,2300.0
2022-11-22,3800.0
2022-11-23,1400.0
2022-11-24,3200.0
2022-11-25,3000.0
2022-11-26,1500.0
2022-11-27,1500.0
2022-11-28,2500.0
2022-11-29,304.0
2022-11-30,1000.0
2022-12-01,5400.0
2022-12-02,3500.0
2022-12-03,784.0
2022-12-04,1200.0
2022-12-05,454.0
2022-12-06,3500.0
2022-12-07,2100.0
2022-12-08,2400.0
2022-12-09,3900.0
2022-12-10,3600.0
2022-12-11,4400.0
2022-12-12,1500.0
2022-12-13,2000.0
2022-12-14,3600.0
2022-12-15,2200.0
2022-12-16,572.0
2022-12-17,3800.0
2022-12-18,1200.0
2022-12-19,282.0
2022-12-20,294.0
2022-12-21,2900.0
2022-12-22,893.0
2022-12-23,3200.0
2022-12-24,2700.0
2022-12-25,4700.0
2022-12-26,682.0
2022-12-27,519.0
2022-12-28,844.0
2022-12-29,443.0
2022-12-30,2900.0
2022-12-31,2500.0
2023-01-01,6100.0
2023-01-02,223.0
2023-01-03,1700.0
2023-01-04,3000.0
2023-01-05,753.0
2023-01-06,1100.0
2023-01-07,1800.0
2023-01-08,2000.0
2023-01-09,732.0
2023-01-10,619.0
2023-01-11,300.0
2023-01-12,3500.0
2023-01-13,548.0
2023-01-14,3000.0
2023-01-15,1500.0
2023-01-16,397.0
2023-01-17,506.0
2023-01-18,598.0
2023-01-19,384.0
2023-01-20,1100.0
2023-01-21,3300.0
2023-01-22,1100.0
2023-01-23,269.0
2023-01-24,269.0
2023-01-25,314.0
2023-01-26,1500.0
2023-01-27,2200.0
2023-01-28,2600.0
2023-01-29,1500.0
2023-01-30,1600.0
2023-01-31,533.0
2023-02-01,3100.0
2023-02-02,4600.0
2023-02-03,1800.0
2023-02-04,2900.0
2023-02-05,1800.0
2023-02-06,1000.0
2023-02-07,960.0
2023-02-08,960.0
2023-02-09,1700.0
2023-02-10,1400.0
2023-02-11,2500.0
2023-02-12,2400.0
2023-02-13,724.0
2023-02-14,1400.0
2023-02-15,965.0
2023-02-16,769.0
2023-02-17,1600.0
2023-02-18,2900.0
2023-02-19,960.0
2023-02-20,1300.0
2023-02-21,324.0
2023-02-22,426.0
2023-02-23,1000.0
2023-02-24,1100.0
2023-02-25,1700.0
2023-02-26,2000.0
2023-02-27,724.0
2023-02-28,558.0
2023-03-01,1800.0
2023-03-02,1000.0
2023-03-03,879.0
2023-03-04,1200.0
2023-03-05,1600.0
2023-03-06,1700.0
2023-03-07,986.0
2023-03-08,1200.0
2023-03-09,834.0
2023-03-10,897.0
2023-03-11,1800.0
2023-03-12,1000.0
2023-03-13,310.0
2023-03-14,341.0
2023-03-15,529.0
2023-03-16,268.0
2023-03-17,589.0
2023-03-18,229.0
2023-03-19,5200.0
2023-03-20,905.0
2023-03-21,707.0
2023-03-22,276.0
2023-03-23,162.0
2023-03-24,498.0
2023-03-25,3100.0
2023-03-26,1500.0
2023-03-27,215.0
2023-03-28,1100.0
2023-03-29,2200.0
2023-03-30,1100.0
2023-03-31,339.0
2023-04-01,2500.0
2023-04-02,2200.0
2023-04-03,2900.0
2023-04-04,1100.0
2023-04-05,582.0
2023-04-06,514.0
2023-04-07,709.0
2023-04-08,3900.0
2023-04-09,7000.0
2023-04-10,830.0
2023-04-11,3200.0
2023-04-12,1200.0
2023-04-13,2000.0
2023-04-14,2400.0
2023-04-15,2000.0
2023-04-16,11500.0
2023-04-17,522.0
2023-04-18,2400.0
2023-04-19,2300.0
2023-04-20,443.0
2023-04-21,3300.0
2023-04-22,1500.0
2023-04-23,493.0
2023-04-24,1300.0
2023-04-25,511.0
2023-04-26,2000.0
2023-04-27,2000.0
2023-04-28,1200.0
2023-04-29,957.0
2023-04-30,2100.0
2023-05-01,2600.0
2023-05-02,1300.0
2023-05-03,836.0
2023-05-04,1300.0
2023-05-05,1400.0
2023-05-06,1100.0
2023-05-07,1100.0
2023-05-08,10600.0
2023-05-09,1100.0
2023-05-10,1300.0
2023-05-11,1900.0
2023-05-12,2200.0
2023-05-13,2100.0
2023-05-14,1900.0
2023-05-15,3400.0
2023-05-16,4800.0
2023-05-17,3900.0
2023-05-18,10100.0
2023-05-19,2700.0
2023-05-20,3000.0
2023-05-21,5400.0
2023-05-22,4600.0
2023-05-23,1900.0
2023-05-24,1300.0
2023-05-25,2500.0
2023-05-26,1800.0
2023-05-27,4400.0
2023-05-28,2600.0
2023-05-29,2900.0
2023-05-30,3400.0
2023-05-31,2800.0
2023-06-01,1200.0
2023-06-02,2900.0
2023-06-03,4400.0
2023-06-04,889.0
2023-06-05,1500.0
2023-06-06,3000.0
2023-06-07,2400.0
2023-06-08,2900.0
2023-06-09,1400.0
2023-06-10,4100.0
2023-06-11,600.0
2023-06-12,4200.0
2023-06-13,1500.0
2023-06-14,3500.0
2023-06-15,2300.0
2023-06-16,4500.0
2023-06-17,4200.0
